variant,task,role,model,run,found,total,false_positives,minor_found,minor_total,pass,latency_s,input_tokens,output_tokens,cost,pi_status,thinking
glm,taste-clean,taste,ollama-cloud/deepseek-v4-flash:0731,3,0,0,2,0,0,,45,48082,3201,0.007628,0,high
glm,test-python-defects,test,openai-codex/gpt-5.6-sol,2,4,5,0,2,2,,81,37681,3257,0.166307,0,high
deepseek,taste-clean,taste,ollama-cloud/deepseek-v4-flash:0731,3,0,0,0,0,0,,24,27764,2349,0.004545,0,high
current,taste-negations,taste,ollama-cloud/deepseek-v4-flash:0731,1,3,3,1,0,0,,39,37306,4883,0.006590,0,high
glm,taste-negations,taste,ollama-cloud/deepseek-v4-flash:0731,1,3,3,0,0,0,,36,34433,4211,0.006000,0,high
deepseek,test-python-defects,test,openai-codex/gpt-5.6-sol,2,4,5,1,2,2,,94,38910,3908,0.187950,0,high
deepseek,taste-negations,taste,ollama-cloud/deepseek-v4-flash:0731,1,3,3,1,0,0,,40,46940,4331,0.007784,0,high
current,taste-negations,taste,ollama-cloud/deepseek-v4-flash:0731,2,3,3,0,0,0,,31,36379,2664,0.005839,0,high
glm,taste-negations,taste,ollama-cloud/deepseek-v4-flash:0731,2,3,3,1,0,0,,367,40805,3663,0.006738,0,high
deepseek,taste-negations,taste,ollama-cloud/deepseek-v4-flash:0731,2,3,3,0,0,0,,353,36324,5001,0.006486,0,high
current,taste-negations,taste,ollama-cloud/deepseek-v4-flash:0731,3,3,3,0,0,0,,32,41096,3617,0.006766,0,high
current,test-python-defects,test,openai-codex/gpt-5.6-sol,3,4,5,0,2,2,,1153,44635,4450,0.266819,0,high
glm,taste-negations,taste,ollama-cloud/deepseek-v4-flash:0731,3,3,3,0,0,0,,51,33245,3949,0.005760,0,high
glm,test-python-defects,test,openai-codex/gpt-5.6-sol,3,4,5,0,2,2,,93,36008,3919,0.190474,0,high
deepseek,taste-negations,taste,ollama-cloud/deepseek-v4-flash:0731,3,3,3,0,0,0,,67,37861,5168,0.006748,0,high
deepseek,test-python-defects,test,openai-codex/gpt-5.6-sol,3,4,5,0,2,2,,82,39322,3403,0.173708,0,high
